Amien St,McCaffrey S,"Pharmacy Express, unit 3 Connolly Station, Amien St. Dublin 1",01-7920000,01-7920007,pharmacist@pharmacyexpressdublin.ie
Ballymount,Health Express,"Median Healthcare Pharmacy, Unit 5 The Westway Centre, Ballymount Ave, Dublin 12",2557280,2557608,
Ballymum,Cadden F,"Poppintree Pharmacy, 6 Poppintree Neighbourhood, Poppintree Parade, Dublin 11",01-8421379,01-8421379,
Ballymum,Dillon J,"Life Pharmacy Ballymum, Unit 2A Alliance Row, Dublin 9",01-8428006,01-8429956,ballymum@lifepharmacy.ie
Ballymum,Laverty T,"Lavertys Pharmacy, Unit 2C Shangan Hall, Dublin 9",01-8623896,,lavertyspharmacy@gmail.com
Ballymum,MacManus E,"Edward MacManus Pharmacy, 19 Ballymum S/c, Dublin 11",01-8421647,01-8421013,
Ballymum,MacManus E,"Edward MacManus Pharmacy, Civic Centre, Dublin 9",01-8579488,01-8579498,edwardmacmanus@gmail.com
Ballymum,McCabe R,"McCabes Pharmacy, 8 College View, Ballymum Rd, Dublin 9",01-8577005,01-8577005,
Ballymum,McCormac K,"Chambers Pharmacy, 127 Ballymum Rd, Dublin 9",01-8378081,01-8571961,info@chamberspharmacy.ie
Beaumont,Doherty J,"Haven Pharmacy Dohertys, 2 Shantalla Rd, Dublin 9",01-8371931,01-8354501,jasondoherty@eircom.net
Berkeley St,Flanagan B,"Flanagans Pharmacy, 18 Berkeley Rd, Phibsboro, Dublin 7",01-8824360,01-8824360,brenflanagan@vodafone.ie
Berkley St,Harvey N,"Dargan’s Pharmacy, 19 Berkley St.",01-8301169,01-8304614,noleenharveyhotmail.com
Blanchardstwon,Boots  Retail Ireland,"Boots, Roselawn S/c, Dublin 15",01-8214345,01-8214464,barry.dunlevy@boots.com
Blanchardstown,Boots Retail Ireland,"Boots, Units 223-224 Blanchardstown Centre",01-8222052,01-8222042,
Blanchardstown,Grogan D,"Corduff pharmacy, 1 Corduff S/c",01-8203569,01-8203569,corduffpharmacy@eircom.net
Blanchardstown,Lloyds Pharmacy,"Lloyds Pharmacy, Superquinn S/c",01-8210807,01-8210807,
Blanchardstown,Lloyds Pharmacy,"Lloyds pharmacy, 2 Main St.",01-8213318,01-8223504,,
Blanchardstown,McCabe B,"Stanleys Pharmacy, Mount View S/c",01-8216011,01-8216011,
Blanchardstown,McCabe R,"McCabes Pharmacy, 148 Blanchardstown Centre",01-8222171,01-8222172,blanchardstown@mccabespharmacy.com
Blanchardstown,Pagni B,"Bradleys Pharmacy, 251/252 Blanchardstown Centre",01-8200088,01-8200854,blanchardstown@bradleyspharmacy.ie
Blanchardstown,Sheridan D,"Sheridans Pharmacy, Unit 0 Roselawn S/c",01-6405740,,info@sheridanspharmacy.ie
Bluebell,Levis K,"Bluebell Pharmacy, 4 La Touche, Bluebell Dublin 12",01-4501188,01-4501188,karllevis@hotmail.com
Cabinteely,Gavin L,"Park Pharmacy, 2 Park Centre, Cabinteely, Dublin 18",01-2856350,01-2850839,
Cabra,Daly P,"Daly’s Pharmacies Ltd, 109 Cabra Rd, Dublin 7",01-8680245,01-8680245,dalphar@gofree.indigo.ie
Cabra,Dwyer G,"Maple Pharmacy, Unit 3 The Maple Centre, Navan Rd",01-8823323,01-8823323,themaplepharmacy@eircom.net
Cabra,Lloyds Pharmacy,"Lloyds Pharmacy, 103a New Cabra rd",01-4751531,01-4754381,
Cabra West,C&D Medical Hall Ltd,"Pellys Pharmacy, 26 Faussagh Ave, Cabra West, Dublin 7",01-8680408,01-8680408,pellyspharmacy@gmail.com
Camden St. Lr,Allcare Group,"Cahills Allcare Pharmacy, 36 Lr Camden St., Dublin 2",01-4753160,01-4753114,Cahillsallcarepharmacy.ie
Camden St. Upr,Dowling R,"Bradys Pharmacy, 12 Upper Camden St., Dublin 2",01-4751531,01-4754381,
Capel Street,Capel St Pharmacy Ltd,"Capel Street Pharmacy, 138 Capel  St, Dublin 1",01-5510001,01-5510004,
Cardiffbridge Rd,Hickey P,"Hickeys Pharmacy, Dunnes S/c, Cardiffbridge, Finglas west, Dublin 11",01-8641204,01-8641204,finglaswest@hickeyspharmacies.ie
Carpenterstown Rd,Lioyds Pharmacy,"Lloyds Pharmacy, Spar S/c, Dublin 15",01-8220846,01-8066000,
Castleknock,Ginnety T,"Clonsilla Pharmacy, weavers Row, Clonsilla, Dublin 15",01-8227585,01-8227585,Clonsillapharmacyd15@gmail.com
Castleknock,Lloyds Pharmacy,"Lloyds Pharmacy, Unit 3 Main St, Castleknock S/c",01-8204411,01-8212053,
Castleknock,Lloyds Pharmacy,"Lloyds Pharmacy, Castlecourt S/c",01-8200564,01-8200564,
Castleknock,O’Neill M,"ODC  Chemists, Unit 2 Laurel Lodge S/c",01-8201688,01-8201688,oddcastleknock@eircom.net
Chapelizod,Buckley B,"Chapelizod Pharmacy, The Island, Chapelizod, Dublin 20",01-6203324,01-6236034,chapelizodpharmacy@hotmail.com
Church road,C&D Medical Hall Ltd,"Fitzmaurices Chemists Ltd, 150 Church Rd, Dublin 3",01-8741266,01-8727769,
Chruch St,Dowling R,"Church St Pharmacy, 145-151 Distillery Bldgs, Church St, Dublin 7",01-8740204,01-8740204,dowlingspharmacy@eircom.net
Churchtown,Gormley B,"Gormley Pharmacy, 5 Nolan av., Dublin 14",01-2985085,01-2986959,
Churchtown,Lloyds Pharmacy,"Lloyds Pharmacy, 11B Braemor Rd",01-2988512,01-2987911,
Churchtown,Pagni B,"Bradleys Pharmacy, 4 Landscape rd",12166139,12166139,churchtown@bradleyspharmacy.ie
Citywest,McCabe R,"McCabes Pharmacy, Unit 6-8 City west S/c, City West Dublin24",01-4133854,01-4133860,
Clanbrassil St Lr,Phelan M,"Phelans Pharmacy, 22 Clanbrassil St. lower, Dublin 8",01-4734083,01-4734181,
Clare Hall,Corr J,"Corrs Pharmacy, Emfield Rise, Clare Hall, Dublin 13",01-8487000,01-8487033,
Clare St,Slattery M,"Prices Pharmacy Ltd, 26 Clare St., Dublin 2",01-6761899,01-6788746,pricesmedhall@eircom.net
Clondalkin,Boots Retail Ireland,"Boots, Unit 27 The Mill S/c, Dublin 22",01-4577611,01-4577661,
Clondalkin,Cadden F,"Caddens Pharmacy, Tower S/c",01-4573794,01-4575229,caddenspharmacy@eircom.net
Clondalkin,Freyne G,"Freyne and Co Ltd, Orchard Rd",01-4574868,01-4574944,FreynesChemist@Freynes.com
Clondalkin,Hudson G,"Bawnogue Life Pharmacy, Bawnogue S/c",01-4571549,01-4576509,
Clondalkin,Kelly O,"Kellys Allcare Pharmacy, The Nangor Centre, Cherrywood",01-4576901,01-4576915,kellyspharmacy@gmail.com
Clondalkin,Lloyds Pharmacy,"Lloyds Pharmacy, Neilstown S/c",01-4570994,01-4578598,
Clondalkin,Lloyds Pharmacy,"Lloyds Pharmacy, The Mill Centre",01-4577166,01-4577167,
Clondalkin,Lloyds Pharmacy,"Lloyds Pharmacy, 1 Chaplains Place, Rowlagh Village",01-6208502,01-6208503,
Clondalkin,Moore F,"Greenpark Pharmacy, Greenpark S/c",01-4642364,01-4642364,
Clondalkin,Paigni B,"Bradleys Pharmacy, Unit 1 dutch Village S/c, Woodford walk",01-4643105,01-4643106,clondalkin@bradleyspharmacy.ie
Clondalkin,Ras Consult Ltd,"Park west pharmacy, Unit 2b The Plaza, Park west Bus Pk, Nangor Rd, Dublin 12",01-6204398,01-6204397,
Clondalkin,Reilly S,"Reillys Pharmacy, 5 Castle Crescent",01-4592862,01-4592862,pharmacy@iol.ie
Clondalkin,Sam McCauley Chemist Ltd,"Sam McCauley Chemist, Aldi S/c, Newlands Cross",01-4643050,01-4643068,newlands@smcc.ie
Clonee,Tunney J,"Littlepace Pharmacy, Littlepace S/c, Clonee, Dublin 15",01-8260944,01-8260947,
Clongriffin,Stack A,"Stacks pharmacy, 13 Main St, Clongriffin, Dublin 13",01-8285103,01-8285104,clongriffin@stackspharmacy.ie
Clonshaugh,Corr J,"Corrs Pharmacy, Clonshaugh S/c, Coolock Dublin 17",01-8487688,01-8470594,johndavidcorr@eircom.net
Clonsilla ,Feeney E,"Hartstown pharmacy, 2 Hartstown S/c, lonsilla Dublin 15",01-8202860,01-8202860,hartstownpharmacy@eircom.net
Clonskeagh,Lloyds Pharmacy,"Lloyds pharmacy, Bird Av., Clonskeagh, Dublin 14",01-2697086,01-2697124,
Clontarf,Doyle A,"Doyles Pharmacy, 3 Vernon Ave, Dublin 13",01-8333269,01-8334360,doylespharmacyclontarf@gmail.com
Clontarf,Doyle N,"Clontarf Pharmacy, 192b Clontarf Rd, Dublin 3",01-8333711,01-8333711,
Clontarf,Magner W,"Foleys of Clontarf, 63 Clontarf Rd",01-8336384,01-8336384,willmagner@hotmail.com
Clontarf,Magner P,"Magners Pharmacy, 16 kincora ave",01-8339066,01-8339066,
Clontarf,Mulgrew P,"Pharmacy O’Regan, 67 Vernon ave",01-8330022,01-8330022,emma@pharmacyoregan.ie
Clontarf,Whooley D,"St Gabriels pharmacy, 28 St Gabriels Rd",01-8339422,01-8339422,gabriels9@iol.ie
Coolock,C&D Medical Hall Ltd,"Cromcastle Pharmacy, 69 Cromcastle rd, Dublin 5",01-8673256,01-8693288,cromcastlepharmacy@eircom.net
Coolock,Hickey P,"Hickeys Pharmacy, Unit 33 Northside S/c, coolock, Dublin 17",01-8477651,01-8470096,northside@hickeyspharmacies.ie
Coolock,Lloyds Pharmacy,"Lloyds Pharmacy, Northside S/c, Coolock, Dublin 17",01-8476463,01-8470045,
Coolock,Lloyds Pharmacy,"Lloyds Pharmacy, 44 Tonglegee Rd, Coolock, Dublin 5",01-8470101,01-8482191,
Coolock,Lloyds pharmacy,"Lloyds Pharmacy, Coolock Village S/c, Dublin 5 ",01-8479377,01-8479344,
Coolock,McCartan B,"McCartans pharmacy, Northside S/c, Units 7&8, Coolock, Dublin 5",01-8770872,01-8770872,
Coolock,O’Reilly M,"Pharmacy O’reilly, 38 Tonlegee Rd, Dublin 5",01-8678080,01-8678089,
Coolock,Rigney J,"The Village Pharmacy, 19 Main St., The courtyard, Coolock Village, Dublin 5",01-8712650,01-8712653,thevillagepharmacy@eircom.net
Cork St,Littleton S,"Moores Pharmacy, unit 2, Mcgoverns corner, Cork st., Dublin 8",01-4542981,01-4543057,
Cornelscourt,Hilton K,"Hiltons Pharmacy, 3 Magic Carpet Centre, Cornelscourt Village, Dublin 18",01-2898889,01-2898892,
Crumlin,Allcare Group,"Allcare Pharmacy Crumlin, 66 St Agnes Rd, Dublin 12",01-4555081,01-4555083,wecare@allcarepharmacy.ie
Crumlin,Hickey P,"Hickeys Pharmacy, Crumlin S/c",01-4531175,01-4737947,crumlin@hickeyspharmacies.ie
Crumlin,Lloyds Pharmacy,"Lloyds Pharmacy, 199 Crumlin Rd",01-4542466,01-4150748,
Crumlin,Lloyds Pharmacy,"Lloyds Pharmacy, 20 St Agnes Rd",01-4555260,01-8058091,
Crumlin,Mulligan C,"Moores Pharmacy, 2 St Agnes Rd",01-4558298,01-4558298,moorespharmacycrumlin@eircom.net
Custom House Sq,Del Alamo J,"Remedi Pharmacy, Unit 8, Custom House Sq, IFSC, Dublin 1",01-6721831,01-6721831,
Dame St,Corrigan E,"City Pharmacy, 14 Dame St, Dublin 2",01-6706504,01-6797690,info@citypharmacy.ie
Darndale ,Stack A,"Darndale pharmacy, Unit 2, Darndale/Belcamp Village Ctr, Dublin 17",01-8674455,01-8674456,
Donaghmede,Allcare group,"Donaghmede Allcare Pharmacy, Donaghmede S/c, Donaghmede, Dublin 13",01-8476181,01-8476181,donaghmede@allcarepharmacy.ie
Donaghmede,Boots retail Ireland,"Boots, Unit 1 Grange Med Centre, Grange Rd",01-8482340,01-8482350,
Donnybrook,Boots retail Ireland,"Boots, 75 Morehampton Rd, Dublin 4",01-6675806,01-6675907,ray.cahill@boots.com
Donnybrook,Health express Pharmacies,"Health Express Pharmacy, 79 Morehampton Rd",01-6687103,01-6687103,
Donnybrook,Lloyds Pharmacy,"Lloyds Pharmacy, 8 The Mall",01-2695236,01-2830455,
Donnybrook,O’Hagan O,"Barrow St. Pharmacy, The Gasworks Buildings, Barrow St",01-6347000,01-6347001,barrowpharmacy@gmail.com
Dorset St Lr,Pagni B,"Bradleys Pharmacy, 50 Dorset St Lr, Dublin 1",01-8557167,01-8557167,dorset@bradleyspharmacy.ie
Drimnagh,Allcare Group,"Galtymore Allcare Pharmacy, 131 Galtymore Rd, Dublin 12",01-4557306,01-4557306,galtymore@allcarepharmacy.ie
Drimnagh,Boots retail Ireland,"Boots, Unit 3A, Drimnagh Rd Retail Centre",01-4651852,01-4651858,
Drimnagh,Johnson P,"Drimnagh Pharmacy, 125 Galtymore Rd",01-4651980,01-4652999,
Drimnagh,Meagher W,"Haven pharmacy Errigal, 16 Errigal Rd",01-4557345,01-4557185,errigalpharmacy@gmail.com
Drumcondra,El Bourdainy M,"Advance Pharmacy, 14 Lower Drumcondra Rd, Dublin 9",01-8600006,01-86000086,
Drumcondra,Geaney M,"Pharmhealth Pharmacy, Henry Grattan Building, DCU, Glasnevin, Dublin 9",01-7006080,01-7006081,info@pharmhealth.ie
Drumcondra,Lloyds Pharmacy,"Lloyds Pharmacy, 10 Drumcondra Rd Upr",01-8373462,01-8373462,
Drumcondra,Murray R,"Homepharm Ltd, 45a Home Farm Rd",01-8373451,01-8573827,homepharm1@eircom.net
Drumcondra,Rigney J ,"Sionhill Pharmacy, 40a Calderwood Rd",01-5598007,01-5598006,sionhillpharmacy@gmail.com
Drumcondra Rd Lr,Boles D,"Boles Pharmacy, 20 Lr Drumcondra Rd",01-8302040,,
Dundrum,Farmer L,"Haven Pharmacy Farmers, 56 Main St, Dublin 14",01-2987337,01-2987337,drumpharm@eircom.net
Dundrum,Finnegan J,"Roebuck Pharmacy, 7 Farmhill Rd, Goatstown, Dublin 14",01-2981295,01-2981295,
Dundrum,Galligan C,"Medipharm, 7 Arbourfield Terrace, Windy Arbour",01-2963492,01-2962192,dundrum@medipharm.ie
Dundrum,McCabe R,"McCabes Pharmacy, Units 17-19, Level 3, Dundrum Town Centre",01-2986709,01-2157871,dundrum@mccabespharmacy.com
Dundrum,Medishetty S,"Rockfield Pharmacy, Unit 2 Rockfield Central, Dundrum Dublin 16",01-2967340,,rockfieldpharmacy@eircom.net
Dundrum,Mulvey F,"Mulveys Pharmacy, Main St.,Dundrum, Dublin 14",01-2951507,01-2951507,frankmulvey@mulveypharmacies.com
Eden Quay,Allen E,"Tracey’s Pharmacy, 18 Eden quay, Dublin 1",01-8740179,01-8740179,
Ellis Quay,Carragher N,"Blackhall Pharmacy, Unit 4, Ellis court Business Complex, Ellis Quay, Dublin 7",01-6722600,01-6722609,natasha@blackhallpharmacy.ie
Fairview,Conaty D,"Morgans pharmacy, 2-4 Fairview strand, Fairview, Dublin 3",01-8881027,01-8381459,morganspharmacyfairview@gmail.com
Fairview,McCartan B,"M I Davis and Co, 34 Fairview Strand",01-8363577,01-8363903,
Fairview,O’Donoghue D,"Banks Pharmacy, 195 Philipsburgh Av.",01-8363577,01-8363903,
Fairview ,Pyne M,"Marino Pharmacy, 25 Marino Mart",01-8338571,01-8338571,pynemichael@hotmail.com
Finglas,Allcare Group,"Clearwater Allcare Pharmacy, Janelle S/c, Finglas, Dublin 11",01-8361583,01-8361583,clearwater@allcarepharmacy.ie
Finglas,Boots retail Ireland,"Boots, Unit 6 Charlestown S/c",01-8041595,01-8340331,christine.purdy@boots.com
Finglas,Cadden F,"Cappagh Pharmacy, Unit 5 The Shops, Barry Ave",01-8108403,,cappaghpharmacy@gmail.com
Finglas,Duggan N,"McKee Pharmacy, 2 McKee Rd",01-8361203,01-8361203,
Finglas,Flanagan B,"Flanagans Instore Pharmacy, Tesco Supermarket, Clearwater S/c",01-8068872,,
Finglas ,Fox V,"Superpharm Chemists Ltd, Unit 8, Main St.",01-8341688,01-8341688,
Finglas ,Hickey P,"Fingal Pharmacy, Superquinn S/c",01-8341695,01-8341695,fingal@hickeyspharmacies.ie
Finglas,Hickey P,"Hickeys Pharmacy, 5 Main St.",01-8341150,01-8341150,finglas@hickeyspharmacies.ie
Finglas,Hickey P,"Hickeys Pharmacy, 3 Cardiffsbridge Rd",01-8110584,01-8110591,cappagh@hickeyspharmacies.ie
Finglas,Hickey P,"Hickeys Pharmacy, Unit 10, Meakstown, Neighbourhood Cent",01-8081441,01-8081442,meakstown@hickeyspharmacies.ie
Finglas,Lloyds Pharmacy,"Lloyds Pharmacy, 47 Main St, Finglas, Dublin 5",01-8642064,01-8068406,
Finglas,McAleer M,"Haven Pharmacy McAleers, 7 Fitzmaurice Rd, Ballygall, Finglas East, Dublin 11",01-9010898,01-9010899,mcaleerpharmacy@eircom.net
Foxrock,Morris B,"Sheanes Pharmacy, 92 Foxrock Ave, Foxrock, Dublin 18",01-2893085,01-2893089,
Foxrock,O’Brien M,"Foxrock Pharmacy, 1 Brighton Rd, Foxrock, Dublin 18",01-2893270,01-2897623,foxpharm@indigo.ie
Foxrock,Rafferty J,"Haven Pharmacy Raffertys, Cornelscourt S/c, Foxrock, Dublin 18",01-2893191,01-2893191,raffcornel@mednet.ie
Fredrick St Nth,Frederick Pharmacy Ltd,"Frederick Pharmacy Ltd, 19 Nth Frederick St, Dublin 1",01-8746475,,
Glasnevin,Duggan N ,"Crescent Pharmacy, 68 Willow Park Crescent, Glasnevin, Dublin 11",01-8346057,01-8346057,
Glasnevin,Golden K,"The Rise Pharmacy, Unit 1 Wood Pk, The Rise, Glasnevin, Dublin 9",01-8572030,,
Glasnevin,Lloyds Pharmacy,"Lloyds Pharmacy, 4 Fitzmaurice Rd, Glasnevin, Dublin 11",01-8342178,01-8361457,
Glasnevin,Moynihan A,"Reddys Pharmacy, 167 Mobhi Rd, Glasnevin, Dublin 9",01-8373443,01-8373443,prescriptionservices@eircom.net
Glasnevin,Stack A,"Stack’s Pharmacy, Unit 4/5 Harts’ Corner, Finglas Rd, Glasnevin, Dublin 9",01-8305543,01-8305544,
Glasnevin Ave,McCabe R,"McCabes Pharmacy, 282 Glasnevin Ave, Dublin 11",01-8342493,01-8342300,glasnevin@mccabespharmacy.com
Grafton St,Boots retail Ireland,"Boots the Chemists, 12 Grafton St, Dublin 2",01-6773000,01-6717842,David.Carroll@boots.com
Grafton St,Hickey P,"Hickeys Pharmacy, 21 Grafton St, Dublin 2",01-6790467,01-6790470,graftonstreet@hickeyspharmacies.ie
Grand Canal St Lr,Medishetty S,"Hayes Pharmacy, 16 Hogan Place, Grand Canal St Lr, Dublin 2",01-6624883,01-6624884,hayespharmacy@gmail.com
Hanover Quay,O’Leary G,"Hanover Quay Pharmacy, Unit 4 The Marker, Forbes St, Dublin 2",01-6798414,01-6798415,hanoverquaypharmacy@gmail.com
Harcourt St,Foody O,"Foodys Pharmacy, Harcourt Building, Harcourt St, Dublin 2",01-4161918,01-4161918,ailbhe@foodyspharmacy.com
Harold’s Cross Rd,Hickey P,"Hickeys Pharmacy, 290 Harolds Cross Rd, Dublin 6",01-4923769,01-4923781,haroldscross@hickeyspharmacies.ie
Haytesbury St,Lloyds Pharmacy,"Lloyds Pharmacy, Meath Primary Care Centre, Haytesbury St, Dublin 8",01-4730131,01-4730130,
Henry St,Boots Retail Ireland,"Boots the Chemists, 20 Henry St, Dublin 1",01-8730209,01-8783157,rob.wood@boots.com
Henry St,Hickey P,"Hickeys Pharmacy, 6 GPO Buildings, Henry St, Dublin 1",01-8731077,01-8731108,henrystreet@hickeyspharmacies.ie
Howth Rd,O’Connor G,"Sutton Cross Pharmacy, 182 Howth Rd, Sutton, Dublin 13",01-8660178,01-8660178,
Huntstown,Littleton S,"Huntstown Pharmacy Ltd, 6 Pinewood Hse, Huntstown Rd, Dublin 15",01-8204799,01-8237616,
Inchicore,Geraghty G,"The Grattan Pharmacy, 13 Grattan Crescent, Inchicore, Dublin 8",01-4533984,01-4533984,
Inchicore,Keatinge N,"Keatinge’s Pharmacy, 3 Tirconnell Rd, Inchicore, Dublin 8",01-4547071,01-4547085,keatingespharmacy@eircom.net
James St,Cassidy C,"Haven Pharmacy Cassidys, U3 Chandler’s Guild, James St, Dublin 8",01-6794022,01-6794022,
James St,Conaty D,"St James Late Night Pharmacy, James St, Dublin 8",01-4734022,01-4734022,sjlnppharmacy65@gmail.com
Jervis St,Boots retail Ireland,"Boots the Chemists, Jervis St Centre, Dublin 1",01-8780200,01-8781007,eoghan.ryan@boots.com
Jobstown,Grogan D,"Jobstown Pharmacy, Unit 2 Kiltalown S/c, Dublin 24",01-4598374,01-4598374,
Kilbarrack,Lloyds Pharmacy,"Lloyds Pharmacy, Kilbarrack S/c, Dublin 5",01-8481585,01-8481600,
Kilbarrack,Ryan G,"Ryans Pharmacy GSC, Unit 1 Greendale S/c",01-8399000,01-8399888,ryanspharmacygsc@gmail.com
Kilbarrack,Stack A,"Kilbarrack Pharmacy, Units 17-18 Kilbarrack S/c, Dublin 13",01-8775955,01-8775954,
Kilbarrack Rd,Lloyds Pharmacy,"Lloyds Pharmacy, 53 Kilbarrack Rd, Kilbarrack, Dublin 5",01-8325332,01-8322598,
Killester,Beggs D,"Pure Pharmacy, 59 Collins Ave East, Killester, Dublin 5",01-5489079,01-5473751,purepharmacycollinsavenue@gmail.com
Killester,Lloyds Pharmacy,"Lloyds Pharmacy, Supervalu S/c, Killester, Dublin 3",01-8330851,01-8330988,
Killester,Magner P,"Magners Pharmacy, 175 Howth Rd, Killester, Dublin 3",01-8330980,01-83333065,
Killester Ave,Pagni B,"Bradleys Pharmacy, 157 Killester ave, Dublin 5",01-8312603,01-8312603,killester@bradleyspharmacy.ie
Kilmacud,Kane M,"Kilmacud totalhealth Pharmacy, 1A Drummartin Rd, Kilmacud, Dublin 14",01-2169748,01-2169748,kilmacud@totalhealth.ie
Kilmainham,Phelan M,"Phelans Pharmacy, 635 South circular rd, Kilmainham, Dublin 8",01-4736029,,
Kilmore Rd,Lloyds Pharmacy,"Lloyds Pharmacy, Artane castle S/c, Kilmore Rd, Dublin 5
",01-8314811,01-8327262,
Kimmage Rd Lr,McCabe R,"McCabes Pharmacy, 312 Kimmage Rd Lr, Dublin 6W",01-4906011,01-4906011,kimmage@mccabespharmacy.com
Kimmage Rd Lr,Thom N,"Thoms Pharmacy, 151 Lr Kimmage Rd, Dublin 6",01-4923272,01-4921207,thomspharm@iolfree.ie
Kimmage Rd W,Lloyds Pharmacy,"Lloyds Pharmacy, Ashleaf S/c, Crumlin Cross, Dublin 12",01-4555648,01-4550977,
Knocklyon,Lloyds Pharmacy,"Lloyds Pharmacy, Superquinn S/c, Knocklyon, Dublin 16",01-4942406,01-4945866,
Leopardstown,Farmer L,"Haven Pharmacy Farmers, Unit 1 Leopardstown S/c, Ballyogan, Dublin 18",01-2941002,01-2141653,llfarmer@iol.ie
Leopardstown,Lloyds Pharmacy,"Lloyds Pharmacy, Unit 8 Leopardstown S/c, Ballyogan Rd",01-2921326,01-2921321,
Lombard St,Irwin J,"Lombard Pharmacy, 32 Lombard St East, Dublin 2",01-6770781,01-6770782,info@lombardpharmacy.ie
Malahide Rd,McCabe R,"McCabes Pharmacy, 1-2 Clarehall S/c, Malahide Rd, Dublin 17",01-8473520,01-8473520,clarehalldisp@mccabespharmacy.com
Malahide Rd,O’Keeffe D,"O’Keeffe’s Pharmacy, 111 Malahide Rd, Dublin 3",01-8318617,01-8318617,
Malahide Rd,Quinn M,"Corrigan’s Pharmacy, 80 Malahide Rd, Dublin 3",01-8338803,01-8334992,
Manor St,Breslin M,"Manor Pharmacy, 21 Manor St, Dublin 7",01-6791097,01-6704676,corroypharmacy@gmail.com
Meath St,Foley S,"Meath Street Pharmacy, 39 Meath St, Dublin 8",01-4542133,01-4537000,sjfoley@eircom.net
Merrion,Allcare Group,"Tony Walsh Allcare Pharmacy, Merrion S/c, Merrion, Dublin 4",01-2838200,01-2603571,twmerrion@allcarepharmacy.ie
Military Rd,Carrol M,"HSQ Pharmacy, Unit 1 Block 7 HSQ, Military Rd, Dublin 8",01-4411140,01-4411141,hsq@tippmedical.com
