Ratoath,Kavanagh P,"Kavanagh Pharmacy, Unit 2 Old Post Office, Main St.",01-6896300,01-6896303,kavpharm2@eircom.net
Ratoath,Ratoath Pharmacy,"Ratoath Pharmacy, Main St.",01-8257440,01-8257442,ratoath.pharmacy@live.ie
Ratoath,Stack A,"Stack’s Pharmacy, Unit 2/3 Supervalu S/c",01-8254111,01-8254112,ratoath@stckspharmacy.ie
Slane,Allcare group,"Breens Allcare Pharmacy, Main St.",041-9824222,041-9824222,breens@allcarepharmacy.ie
Slane,Smyth S,"Slane Pharmacy, Unit 4 Smyths Service station, Collon Rd",041-9884925,041-9884934,slanepharmacy@gmail.com
Summerhill,Shanahan D,"Summerhill Pharmacy, Main St.",046-9557052,046-9557052,summerhillpharmacy@eircom.net
Trim,Dunne A,"Adrian Dunne pharmacy, Market St.",046-9436600,046-9437422,trim@dunnepharmacies.ie
Trim,Farrell J,"Farrells pharmacy trim, Finnegans Way",046-9484285,,info@farrellspharmacy.com
Trim,Flattery A,"Trim Pharmacy Ltd, Market St.",046-9431279,046-9431279,
Trim,McGrane O,"McGranes Pharmacy, Patrick St.",046-9483756,046-9483755,orlamcgrane@hotmail.com
Trim,O’Shaughnessy M,"O’Shaughnessys Pharmacy, Haggard St.",046-9431928,046-9438038,
Trim,Paigni B,"Bradleys pharmacy, Knightsbridge Nursing Home, Longwood Rd",046-9436585,,
